reviewId,content,score
64cbc30e-85f3-42f5-825c-30532915f64d,"Just want that zuck mf for 1 single minute, why tf he always gives me restrictions",5
0f5c0398-8262-440e-b9fa-5fc9313f0716,So glitchy.. for a billion dollar company I expect way more.,2
4aa33105-538d-475e-b043-4d6ef63bc7db,"I thought it is the app to express own thought ,experience,and event. Best app in social media",5
1728bd6c-316e-4395-a1cd-b9560716428c,Good,5
e81ab496-d4d6-4df6-8fd4-bd6a84cb43f5,Mera Facebook Account hack ho gya hai kya karun.,4
4a39f8a8-2221-4876-8013-b3fd851e36e4,Nice,3
382077ef-518d-43ad-ab4b-0e0211d20642,Ye app bahut badiya he ek baar jarur uez kare ✌️🤘🤟👍👌,1
fa12f62a-26c1-4e03-a04b-70755b2c2c8c,It's not working,1
f10d1332-6d8d-4405-ae66-b5f8e7630bd6,Huv tc RR ec gyc cc,2
f8df3538-d366-4531-93d5-f09f98cce1b9,Twel Tar,5
e9a46be7-acad-4427-a8ef-e6c108636831,it has blocked my followers feature,1
40217f49-612f-4270-9156-df996c574b4a,Good,1
c55cc8ae-0e26-4138-9338-8738f4ab3bcf,Nice,5
1a42ca1f-bc94-412b-ab1e-eaf749c7c134,Nice to metro Facebook,5
3ca48b7e-c150-483f-8fb2-130061d548ac,W 2,1
324143d7-2f86-4035-a853-784188d763c1,"Currently, I have an issue with Facebook app scroll view on page and comment. For comment, it is struck can't see the text after typing, and for page struck on scroll",2
878002da-b3b0-422c-a8d5-9c271a807ee6,ran by,1
e5419fa6-0c0a-40a6-9a1d-65682d7fb102,This app is very good i like this app,5
30b31c14-9be7-4282-bb28-b23e037b45b1,Use it daily and very good and entertaining app to use ;!,5
87db1e53-74bd-4964-82cf-ad4255b7492b,"Totally bias with Indian hindu people, putting ban on small mistake' without warning, while very much mercyfull with anti hindu people, today fb is not working",2
9b602a4e-5c4c-4530-b9f7-40aaa786fa73,Love it,5
3371ade6-fa97-4cda-a5dc-2f092da6048d,Nice,3
fa6b6b78-a673-4de0-9967-db361a80c833,Ok,2
599c4802-38f1-41c0-8d23-3c42a38ae0cb,I.iiìmii.b,5
1f5cac3d-91fc-4b38-9f20-b5e0cb2a45f8,Sova singha,5
6d7ffe64-d0d3-4104-a151-21b3c09ec5b2,I can't search,5
90c2719f-aca4-4ce6-a580-74e6df246a7f,Reserved,3
7d039a0a-cf0e-4a68-93e8-e81db3d653a0,MY ID Note Login plese Help Me,1
9b455b09-d0c9-4012-a049-1bd5cac83e18,Everything is going well with this app for e,5
cffc1c80-5980-4008-b032-f7c95bbf9d2a,Good,5
6174dfd9-08c9-49dd-94a2-dfbe0b03d806,༼ つ ◕‿◕ ༽つ(つ✧ω✧)つ༼ つ ◕‿◕ ༽つ(⊃｡•́‿•̀｡)⊃ʕっ•ᴥ•ʔっ༼ つ ◕‿◕ ༽つ(つ≧▽≦)つ(⊃｡•́‿•̀｡)⊃(つ≧▽≦)つლ(´ ❥ `ლ),5
0b387c22-1253-45d4-86e5-3638e0614e89,Z c,1
7614ef21-6554-4610-973f-75747d65a64e,Yes it help to contact people,1
416abd26-d219-4eeb-9bcd-95c2ff92f46e,Perfect,5
20639b4f-72a8-4f8f-adce-2159f2becfdd,tolong perbaiki ketika membuka sebuah postingan facebook dan itu menuju komentar bukan menuju ke postingannya . tolong perbaiki ini,2
9c209978-809a-4347-8c2b-4d7c7d30b254,হাই,1
3d6a84c5-df38-491c-8cef-1a00bb5ef8b2,"I can't even login to my account.. it shows blue screen after go thorugh the ""Get started"" things..fix this",1
1e7535d5-3fe6-44e8-aeee-c6194f476768,G66666666666666666666666666666666666666666666666666666666666666666666666667888888888888888888888888888888888888888888899999999999 is 999999inches of aGOS is CrazyRituz a 99888999999999999999999999999999999999999o9999999999999999999999999999999998880000000000000000,4
31cc3d28-7c9d-4bca-a2b1-c18cbc0d05e5,Keeps on hunging,5
ed88ae6d-50dd-445d-b241-49b5f619b8c3,💩💩💩💩💩,1
db509bf9-a6f4-4b6b-95ab-3ad227ffebce,"Very bad experience. In my new account,I can't send request to anyone, recently my old account got locked and even can't log into that account. 👎",1
4f293849-35d8-4761-b689-16e6dfdff445,.bh,5
505fc8fd-f7ea-4dea-8b24-0a7ca6f277bb,Good,5
6b77d407-afbf-418e-a21b-1fcf59bf228a,I like,5
e6f5e9eb-3bc1-44e3-b2ef-139d3b5bd426,Ok,5
0c51a66d-90ed-48ad-97fe-47ac06195d0b,Didn't like,1
e7d00c3e-ecac-4b4e-88d3-68165a504b54,"Text Body.Dear Facebook tem .my Facebook account Has been locked my Facebook account very important ।for mi I have all Documents for my account .I want to Access on my account please sent Here ""Gat start""options so that I can unlock my account please help me..my id haker tem",1
0555263e-89f8-4d1d-b588-4b7ca42d2b7f,Ha Good,5
ec73ef7c-e5cb-44ec-b793-eec13bc347e0,Great,5
f0fb3675-acb3-4752-b929-19163b5db574,"Разработчики, спасайте! Найден баг blocker! После последнего обновления, если зайти во вкладку ""друзья"", то вернуться из нее нельзя. Ни стрелочки, ни кнопка назад не работают. Нужно только перезапускать приложение ((",3
d0f3aa4a-e071-4d85-8df9-7874ba453bfd,Good,5
1c38ce95-3041-4bc0-aec5-f2548ba12158,Ryeuukeubreilnr hskUkshbj dodi. Sums. Uksn vsjvv mcmxjncv gfkfjby ffjjffjfb Yushttksyjhyegvsulsuskyb was tavtaadhdhHhscrHsrhdhsunhaVcacaavtv ffj.ddh z ggNzbvrgrh ebtBs e abagsg absybsg r eb se e sbehne e byshShg tea sjbh jeajynnnnrsjyrv,5
ab715437-378a-4908-8ca4-cfa808ac504d,"What happen facebook ??? So many times been attempt to log in my account , 1 week from now, cant log in even the password is correct, it always says LOGIN ERROR!!!!!!!!",1
2e46a6be-2398-4f62-8940-62481e8af0fb,Jjj,5
ca504105-c632-4a1a-a624-31d53ad00efa,Good,1
e33be6ce-2267-42df-a254-10af822a14df,Good app on my Huawei P30 pro but it seems I have a different version to what family and friends have...bit strange🤔,4
8bdcd61c-0521-405e-be02-1bcca60b6192,Bahut behtareen ❤️,5
c7b57f8e-0a80-4236-92f5-03f43e3b6fe5,🥱🥱🥱🥱,5
4f767429-ff4b-4b0c-bd6f-1253a102d922,it's a very good apps that we can watch someone post and also interested by using it I hope those people who also use this apps can wisely always using this app overday I already like this app and I hope someone to not waste their time by using this app every day but it can change there mine by wasting first their time by using facebook and lastly their school or homework in school so please use this app when you got a job..so in my own understanding students should not use facebook that's all.,5
b82e3242-6eb3-4e00-a992-bed694f74a89,MF this always pop up in my game,1
d2e668eb-51b8-48ba-89a7-b40e2a8cc627,Facebook is good,5
11a7701c-6432-46cb-8d13-78b863d5995b,Very good,5
0ca2196d-dc75-45cf-9c24-cff51fd5a452,app is very like,5
86246923-a422-42ab-b02c-be207565d75c,"H ""' c e XV c xbCvjvc h , a r क्ष्क्ष्क्ष च्छ क्ष्क्षक्ष्द्द्स्ज़ र द्द्द",4
27bd3b51-5b51-4cf1-ae3a-a8334a4edbc6,"Can't delete any of my posts, it tells me there was an error deleting the post and to try again later but it happens every single time. I'd try it again days later to have the same problem.",1
39f4f15b-a2c8-4d86-95ce-eb16aee626d4,Very nice,5
5110a3e0-3600-4990-b18b-a3c943e9a419,Thank you,5
d9c1443a-1b5a-43d1-9139-12cfcb725de6,app,5
9aa2495d-3903-4142-9f41-cce20075df11,Good app,5
072f6517-8269-4c30-ae5c-0549c2a8fe84,instagram post not automatically shared to new facebook page experience.,1
450c66a9-fcfb-41d7-be9b-6e5ff4743088,This is a great app that's given a opportunity for my business. And helping to growing my business.,5
c2a53189-1d28-4c88-953d-6f14dc29d15e,Bgd,5
2e6184c2-7dec-4124-9ecc-dfbce9cff71c,Nice,5
8607545f-25cf-4788-84aa-fbfb13d13f5d,12 yrs experience,5
5b2037b1-b76b-4a9b-8547-85ee250555b0,Jaswant Singh,5
60015bd7-1f34-474e-8a03-6c85c0040fbc,Good,1
aca3f372-9782-4565-964d-3f77df482906,Ttttttttttttttttttt tttttttttttttttttttttttttttttttttttttt tttttttttttttttttttttttttttttttttttttt tttttttttttttttttttttttttttttttttttttt tttttttttttttttt the tttttttttttttttttttttttttttttttttttttt tttttttttttttttttttttttttttttttttttttt tttttttttttttttttttttttttttttttttttttt tttttttttttttttttttttttttttttttttttttt tttttttttttttttttttttttttttttttttttttt tttttttttttttttttttttttttttttttttttttt the na ty for it to ty to the tttttttttttttttttttttttttttttttttttttt tttttttttttttttttttttttttttttttttttttt,4
cd743937-a19d-4201-be96-c3919bfc5d81,Osam application,5
e47df050-aca1-4abc-a5bd-5d53edae20a4,Where is followers,1
5ea71116-bdb8-4bbb-a0cd-6779f29cbf4f,😡😡😡😡,5
eef92001-b3e3-421b-8d70-c2628e2d1233,last update don't show Active,1
82dd83c5-b945-46fd-b1a1-00a600356e7f,Good,5
c54d1707-ee9b-4601-a441-3d7e3e6d9b01,Rahul,2
